бараа_дугаар,ангилал,бүлэг,брэнд,одоогийн_үнэ,суурь_үнэ,өртөг,санал_болгох_үнэ,өөрчлөлтийн_дүн,өөрчлөлтийн_хувь,үйлдэл,яаралтай,ашгийн_хувь,ашгийн_ангилал,эрэлтийн_түвшин,сарын_дундаж_тоо,нийт_тоо,идэвхтэй_сар,шалтгаан
Item_101,Category_18,Group_9,Brand_29,24071,24322,9628,21180,-2890,-12.0,Үнэ бууруулах,Дунд,65.2,Сайн ашиг,Өндөр,38.2,496,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1010,Category_18,Group_9,Brand_23,33412,42990,22122,29400,-4012,-12.0,Үнэ бууруулах,Дунд,37.8,Дунд ашиг,Дунд,2.3,7,3,222 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1011,Category_18,Group_9,Brand_23,23158,42376,17824,20380,-2777,-12.0,Үнэ бууруулах,Дунд,23.3,Дунд ашиг,Дунд,3.4,24,7,221 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1012,Category_18,Group_9,Brand_23,34500,42990,33153,36470,1970,5.7,Өөрчлөхгүй,Бага зэрэг,4.2,Бага ашиг,Дунд,2.4,12,5,"Одоогийн үнэ тохиромжтой: 4.2% ашиг, дунд эрэлт | ⚠️ Өртгийн доод хязгаар хэрэгжлээ: 33,153₮"
Item_1013,Category_18,Group_9,Brand_23,23215,42990,18130,20430,-2785,-12.0,Үнэ бууруулах,Дунд,21.9,Дунд ашиг,Дунд,2.0,2,1,433 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1014,Category_19,Group_9,Brand_23,26869,42990,21378,24180,-2688,-10.0,Үнэ бууруулах,Дунд,20.4,Дунд ашиг,Бага,1.6,8,5,"Эрэлт бага (1.6 ш/сар), 37.5% хөнгөлөлттэй ч зарагдахгүй | Үнийг бууруулж борлуулалтыг нэмэгдүүлэх"
Item_1015,Category_77,Group_16,Brand_54,13723,13990,5489,12080,-1643,-12.0,Үнэ бууруулах,Дунд,62.7,Сайн ашиг,Өндөр,31.9,415,13,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1016,Category_77,Group_16,Brand_54,13764,13990,5505,12110,-1653,-12.0,Үнэ бууруулах,Дунд,64.4,Сайн ашиг,Дунд,23.2,302,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1017,Category_77,Group_16,Brand_54,13665,13990,5466,12030,-1635,-12.0,Үнэ бууруулах,Дунд,62.7,Сайн ашиг,Дунд,22.8,297,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1018,Category_77,Group_16,Brand_54,13678,13990,5471,12040,-1638,-12.0,Үнэ бууруулах,Дунд,62.9,Сайн ашиг,Өндөр,32.8,427,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1019,Category_77,Group_16,Brand_54,13730,13990,5491,12080,-1649,-12.0,Үнэ бууруулах,Дунд,62.8,Сайн ашиг,Өндөр,42.8,557,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_102,Category_19,Group_9,Brand_3,22258,32990,11620,19590,-2667,-12.0,Үнэ бууруулах,Дунд,48.9,Сайн ашиг,Дунд,10.1,131,13,160 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1020,Category_61,Group_13,Brand_53,40198,43466,23647,42210,2012,5.0,Үнэ нэмэх,Дунд,41.5,Сайн ашиг,Өндөр,67.9,883,13,"Эрэлт маш өндөр (68 ш/сар), ашиг сайн (41.5%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1021,Category_6,Group_2,Brand_11,8812,11990,4506,7750,-1061,-12.0,Үнэ бууруулах,Дунд,51.0,Сайн ашиг,Дунд,18.8,244,13,142 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1022,Category_6,Group_2,Brand_11,8645,11990,4447,7610,-1035,-12.0,Үнэ бууруулах,Дунд,50.3,Сайн ашиг,Дунд,10.6,138,13,153 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1023,Category_6,Group_2,Brand_11,9202,11990,4279,8100,-1101,-12.0,Үнэ бууруулах,Дунд,53.9,Сайн ашиг,Дунд,12.7,165,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1024,Category_6,Group_2,Brand_11,8367,11990,3990,7360,-1007,-12.0,Үнэ бууруулах,Дунд,51.6,Сайн ашиг,Дунд,4.9,64,13,165 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1025,Category_6,Group_2,Brand_11,8337,11990,4459,7340,-996,-12.0,Үнэ бууруулах,Дунд,48.6,Сайн ашиг,Дунд,14.8,193,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1026,Category_6,Group_2,Brand_11,6987,11990,4079,6150,-837,-12.0,Үнэ бууруулах,Дунд,41.4,Сайн ашиг,Дунд,3.0,30,10,161 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1027,Category_6,Group_2,Brand_11,9126,11990,4638,8030,-1095,-12.0,Үнэ бууруулах,Дунд,51.2,Сайн ашиг,Дунд,2.7,16,6,142 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1028,Category_20,Group_9,Brand_23,49118,49990,22199,43220,-5898,-12.0,Үнэ бууруулах,Дунд,55.0,Сайн ашиг,Дунд,11.7,152,13,138 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1029,Category_50,Group_2,Brand_22,9530,9990,7814,9530,0,0.0,Өөрчлөхгүй,Бага зэрэг,18.1,Бага ашиг,Дунд,3.5,35,10,"Одоогийн үнэ тохиромжтой: 18.1% ашиг, дунд эрэлт"
Item_103,Category_19,Group_9,Brand_23,29323,30405,11729,30790,1466,5.0,Үнэ нэмэх,Дунд,65.0,Сайн ашиг,Өндөр,51.8,673,13,"Эрэлт маш өндөр (52 ш/сар), ашиг сайн (65.0%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1030,Category_50,Group_2,Brand_22,12884,13990,8215,11340,-1544,-12.0,Үнэ бууруулах,Дунд,38.3,Дунд ашиг,Өндөр,147.8,1921,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1031,Category_77,Group_16,Brand_54,24560,24990,11583,21610,-2949,-12.0,Үнэ бууруулах,Дунд,53.3,Сайн ашиг,Дунд,10.2,133,13,146 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1032,Category_77,Group_16,Brand_54,16733,16990,8699,14730,-2003,-12.0,Үнэ бууруулах,Дунд,48.5,Сайн ашиг,Дунд,13.4,174,13,140 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1033,Category_30,Group_10,Brand_3,28724,29990,11489,30160,1435,5.0,Үнэ нэмэх,Дунд,60.1,Сайн ашиг,Өндөр,126.9,1650,13,"Эрэлт маш өндөр (127 ш/сар), ашиг сайн (60.1%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1034,Category_35,Group_10,Brand_3,21866,24990,9356,19240,-2626,-12.0,Үнэ бууруулах,Дунд,57.2,Сайн ашиг,Бага,1.3,4,3,302 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1035,Category_29,Group_10,Brand_3,29118,30373,11647,30570,1451,5.0,Үнэ нэмэх,Дунд,65.2,Сайн ашиг,Өндөр,309.8,4028,13,"Эрэлт маш өндөр (310 ш/сар), ашиг сайн (65.2%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1036,Category_12,Group_10,Brand_3,26813,27990,10744,28150,1337,5.0,Үнэ нэмэх,Дунд,60.0,Сайн ашиг,Өндөр,67.2,874,13,"Эрэлт маш өндөр (67 ш/сар), ашиг сайн (60.0%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1037,Category_27,Group_10,Brand_3,26904,27782,10761,28250,1346,5.0,Үнэ нэмэх,Дунд,60.8,Сайн ашиг,Өндөр,75.3,979,13,"Эрэлт маш өндөр (75 ш/сар), ашиг сайн (60.8%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1038,Category_27,Group_10,Brand_3,27042,27731,10816,23800,-3242,-12.0,Үнэ бууруулах,Дунд,61.7,Сайн ашиг,Өндөр,24.3,316,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1039,Category_20,Group_9,Brand_3,31342,37990,15600,27580,-3761,-12.0,Үнэ бууруулах,Дунд,51.0,Сайн ашиг,Дунд,2.7,27,10,195 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_104,Category_19,Group_9,Brand_103,37118,37850,14847,38610,1492,4.0,Үнэ нэмэх,Дунд,61.7,Сайн ашиг,Өндөр,100.8,1310,13,"Эрэлт маш өндөр (101 ш/сар), ашиг сайн (61.7%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1040,Category_22,Group_10,Brand_3,18119,18990,7641,15940,-2178,-12.0,Үнэ бууруулах,Дунд,58.6,Сайн ашиг,Дунд,2.2,18,8,261 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1043,Category_20,Group_18,Brand_48,44900,44900,34695,39510,-5390,-12.0,Үнэ бууруулах,Дунд,22.7,Дунд ашиг,Бага,1.0,1,1,351 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1044,Category_33,Group_20,Brand_24,23453,23722,9381,24200,746,3.2,Үнэ нэмэх,Дунд,68.5,Сайн ашиг,Өндөр,183.1,2380,13,"Эрэлт маш өндөр (183 ш/сар), ашиг сайн (68.5%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1045,Category_33,Group_20,Brand_24,20410,20740,8163,21150,740,3.6,Үнэ нэмэх,Дунд,68.4,Сайн ашиг,Өндөр,202.6,2634,13,"Эрэлт маш өндөр (203 ш/сар), ашиг сайн (68.4%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1046,Category_33,Group_20,Brand_84,19568,26990,18299,19570,0,0.0,Өөрчлөхгүй,Бага зэрэг,9.2,Бага ашиг,Дунд,4.5,9,2,"Одоогийн үнэ тохиромжтой: 9.2% ашиг, дунд эрэлт"
Item_1047,Category_8,Group_3,Brand_1,16275,22212,8382,14320,-1954,-12.0,Үнэ бууруулах,Дунд,47.0,Сайн ашиг,Дунд,2.5,10,4,247 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1048,Category_113,Group_29,Brand_43,145490,149990,120726,145490,0,0.0,Өөрчлөхгүй,Бага зэрэг,17.0,Бага ашиг,Бага,1.0,1,1,"Одоогийн үнэ тохиромжтой: 17.0% ашиг, бага эрэлт"
Item_1049,Category_33,Group_20,Brand_93,26174,26990,12062,27480,1305,5.0,Үнэ нэмэх,Дунд,54.0,Сайн ашиг,Өндөр,66.8,868,13,"Эрэлт маш өндөр (67 ш/сар), ашиг сайн (54.0%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_105,Category_20,Group_9,Brand_11,50777,52990,29002,44680,-6096,-12.0,Үнэ бууруулах,Дунд,42.9,Сайн ашиг,Дунд,6.0,78,13,144 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1050,Category_20,Group_9,Brand_24,39340,39938,15736,40740,1399,3.6,Үнэ нэмэх,Дунд,61.6,Сайн ашиг,Өндөр,206.9,2690,13,"Эрэлт маш өндөр (207 ш/сар), ашиг сайн (61.6%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1051,Category_35,Group_10,Brand_3,8991,9990,3596,7910,-1081,-12.0,Үнэ бууруулах,Дунд,78.5,Сайн ашиг,Бага,1.0,1,1,468 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1052,Category_35,Group_10,Brand_3,4995,9990,1998,4500,-495,-9.9,Үнэ бууруулах,Дунд,90.9,Сайн ашиг,Бага,1.0,1,1,"Эрэлт бага (1.0 ш/сар), 50.0% хөнгөлөлттэй ч зарагдахгүй | Үнийг бууруулж борлуулалтыг нэмэгдүүлэх"
Item_1053,Category_33,Group_18,Brand_122,57000,57000,44045,50160,-6840,-12.0,Үнэ бууруулах,Дунд,22.7,Дунд ашиг,Бага,1.0,1,1,530 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1054,Category_33,Group_20,Brand_60,49900,49900,36291,43910,-5990,-12.0,Үнэ бууруулах,Дунд,27.3,Дунд ашиг,Дунд,2.0,2,1,172 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1055,Category_18,Group_9,Brand_27,47137,50291,19888,49490,2352,5.0,Үнэ нэмэх,Дунд,58.1,Сайн ашиг,Өндөр,73.8,959,13,"Эрэлт маш өндөр (74 ш/сар), ашиг сайн (58.1%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1056,Category_20,Group_9,Brand_27,47476,50340,20010,49850,2373,5.0,Үнэ нэмэх,Дунд,58.0,Сайн ашиг,Өндөр,77.5,1007,13,"Эрэлт маш өндөр (78 ш/сар), ашиг сайн (58.0%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1057,Category_21,Group_9,Brand_27,50332,53635,23044,52850,2518,5.0,Үнэ нэмэх,Дунд,54.4,Сайн ашиг,Өндөр,61.5,799,13,"Эрэлт маш өндөр (62 ш/сар), ашиг сайн (54.4%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1059,Category_31,Group_16,Brand_54,8291,9990,3746,7300,-991,-12.0,Үнэ бууруулах,Дунд,59.1,Сайн ашиг,Дунд,3.6,32,9,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_106,Category_20,Group_9,Brand_13,46226,47432,28532,40680,-5546,-12.0,Үнэ бууруулах,Дунд,38.3,Дунд ашиг,Дунд,12.5,163,13,155 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1060,Category_67,Group_18,Brand_163,14695,14957,11338,12930,-1765,-12.0,Үнэ бууруулах,Дунд,22.9,Дунд ашиг,Дунд,3.5,38,11,155 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1061,Category_67,Group_18,Brand_163,17523,17720,13424,15420,-2103,-12.0,Үнэ бууруулах,Дунд,23.3,Дунд ашиг,Дунд,3.9,39,10,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1062,Category_67,Group_18,Brand_163,22372,22602,16616,19690,-2682,-12.0,Үнэ бууруулах,Дунд,25.7,Дунд ашиг,Дунд,3.8,42,11,155 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1063,Category_63,Group_14,Brand_142,22900,22900,19464,22900,0,0.0,Өөрчлөхгүй,Бага зэрэг,15.0,Бага ашиг,Бага,1.2,7,6,"Одоогийн үнэ тохиромжтой: 15.0% ашиг, бага эрэлт"
Item_1064,Category_18,Group_9,Brand_24,34035,34784,13614,35480,1444,4.2,Үнэ нэмэх,Дунд,61.8,Сайн ашиг,Өндөр,232.5,3022,13,"Эрэлт маш өндөр (232 ш/сар), ашиг сайн (61.8%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1065,Category_18,Group_9,Brand_24,39325,39990,15730,40790,1464,3.7,Үнэ нэмэх,Дунд,62.0,Сайн ашиг,Өндөр,193.5,2516,13,"Эрэлт маш өндөр (194 ш/сар), ашиг сайн (62.0%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1066,Category_38,Group_10,Brand_81,14995,29990,11643,13500,-1495,-10.0,Үнэ бууруулах,Дунд,22.4,Дунд ашиг,Бага,1.0,1,1,"Эрэлт бага (1.0 ш/сар), 50.0% хөнгөлөлттэй ч зарагдахгүй | Үнийг бууруулж борлуулалтыг нэмэгдүүлэх"
Item_1067,Category_8,Group_3,Brand_1,21639,22416,10213,19040,-2598,-12.0,Үнэ бууруулах,Дунд,53.0,Сайн ашиг,Дунд,16.5,214,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1068,Category_41,Group_20,Brand_93,17830,22990,9108,15690,-2139,-12.0,Үнэ бууруулах,Дунд,51.7,Сайн ашиг,Дунд,2.1,17,8,234 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1069,Category_33,Group_20,Brand_93,22621,23225,10238,19910,-2710,-12.0,Үнэ бууруулах,Дунд,54.7,Сайн ашиг,Дунд,2.6,34,13,155 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_107,Category_20,Group_9,Brand_23,32003,33132,12801,33600,1597,5.0,Үнэ нэмэх,Дунд,67.2,Сайн ашиг,Өндөр,61.2,796,13,"Эрэлт маш өндөр (61 ш/сар), ашиг сайн (67.2%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1070,Category_19,Group_9,Brand_91,42072,43276,19131,37020,-5052,-12.0,Үнэ бууруулах,Дунд,54.7,Сайн ашиг,Өндөр,37.8,492,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1071,Category_17,Group_10,Brand_81,25994,39990,19782,22870,-3123,-12.0,Үнэ бууруулах,Дунд,27.8,Дунд ашиг,Дунд,2.0,6,3,275 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1075,Category_2,Group_2,Brand_22,21112,39990,19173,21110,0,0.0,Өөрчлөхгүй,Бага зэрэг,9.7,Бага ашиг,Дунд,7.2,65,9,"Одоогийн үнэ тохиромжтой: 9.7% ашиг, дунд эрэлт"
Item_1076,Category_2,Group_2,Brand_22,22207,39990,18901,22210,0,0.0,Өөрчлөхгүй,Бага зэрэг,15.3,Бага ашиг,Дунд,6.3,57,9,"Одоогийн үнэ тохиромжтой: 15.3% ашиг, дунд эрэлт"
Item_1077,Category_18,Group_9,Brand_97,21495,42990,29550,33980,12485,58.1,Үнэ нэмэх,Яаралтай,-37.5,Алдагдалтай,Бага,1.0,1,1,"Алдагдалтай зарагдаж байна (-37.5%) | Өртөгт суурилсан доод үнэ: 33,982₮"
Item_1078,Category_20,Group_9,Brand_97,22320,46990,35417,40730,18409,82.5,Үнэ нэмэх,Яаралтай,-58.7,Алдагдалтай,Бага,1.0,2,2,"Алдагдалтай зарагдаж байна (-58.7%) | Өртөгт суурилсан доод үнэ: 40,730₮"
Item_1079,Category_28,Group_5,Brand_97,19695,39990,17321,19700,0,0.0,Өөрчлөхгүй,Бага зэрэг,12.0,Бага ашиг,Дунд,3.0,3,1,"Одоогийн үнэ тохиромжтой: 12.0% ашиг, дунд эрэлт"
Item_108,Category_20,Group_9,Brand_23,32257,32997,12902,28390,-3866,-12.0,Үнэ бууруулах,Дунд,66.3,Сайн ашиг,Өндөр,38.4,346,9,253 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1080,Category_18,Group_9,Brand_97,12274,24990,10559,12270,0,0.0,Өөрчлөхгүй,Бага зэрэг,14.0,Бага ашиг,Дунд,2.6,13,5,"Одоогийн үнэ тохиромжтой: 14.0% ашиг, дунд эрэлт"
Item_1082,Category_33,Group_20,Brand_24,14880,20225,6233,13090,-1789,-12.0,Үнэ бууруулах,Дунд,59.9,Сайн ашиг,Дунд,6.4,58,9,268 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1083,Category_41,Group_20,Brand_80,39005,39990,15602,34320,-4685,-12.0,Үнэ бууруулах,Дунд,60.4,Сайн ашиг,Дунд,10.3,134,13,139 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1084,Category_28,Group_5,Brand_84,29990,29990,14849,27890,-2100,-7.0,Үнэ бууруулах,Дунд,50.5,Сайн ашиг,Бага,1.0,1,1,"Эрэлт бага (1.0 ш/сар), ашиг бууруулахыг зөвшөөрнө (50.5%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1085,Category_16,Group_10,Brand_82,45528,49990,21198,40060,-5468,-12.0,Үнэ бууруулах,Дунд,54.5,Сайн ашиг,Дунд,19.2,249,13,141 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1086,Category_16,Group_10,Brand_82,44133,49990,21285,38840,-5292,-12.0,Үнэ бууруулах,Дунд,53.0,Сайн ашиг,Дунд,9.5,123,13,137 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1087,Category_73,Group_21,Brand_15,56830,57990,24581,52850,-3980,-7.0,Үнэ бууруулах,Дунд,56.8,Сайн ашиг,Бага,1.6,8,5,"Эрэлт бага (1.6 ш/сар), ашиг бууруулахыг зөвшөөрнө (56.8%) | Үнийн бага бууралт илүү олон худалдан авагч татна"
Item_1088,Category_62,Group_13,Brand_36,24233,25396,12596,25440,1206,5.0,Үнэ нэмэх,Дунд,48.5,Сайн ашиг,Өндөр,56.5,735,13,"Эрэлт маш өндөр (56 ш/сар), ашиг сайн (48.5%) | Борлуулалт алдахгүйгээр аажим үнэ нэмэх боломж байна"
Item_1089,Category_68,Group_3,Brand_44,14331,21990,7409,12610,-1721,-12.0,Үнэ бууруулах,Дунд,50.6,Сайн ашиг,Дунд,15.9,111,7,265 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_109,Category_20,Group_9,Brand_23,35356,36119,14142,31110,-4246,-12.0,Үнэ бууруулах,Дунд,62.9,Сайн ашиг,Өндөр,47.2,614,13,142 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1090,Category_68,Group_3,Brand_44,16509,21990,7770,14530,-1978,-12.0,Үнэ бууруулах,Дунд,55.9,Сайн ашиг,Дунд,10.4,73,7,309 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1091,Category_68,Group_3,Brand_44,13414,21990,7016,11800,-1613,-12.0,Үнэ бууруулах,Дунд,50.6,Сайн ашиг,Дунд,4.0,20,5,362 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
Item_1092,Category_68,Group_3,Brand_44,15723,21990,7602,13840,-1882,-12.0,Үнэ бууруулах,Дунд,55.0,Сайн ашиг,Дунд,2.4,12,5,321 хоногийн өмнө сүүлд зарагдсан | Борлуулалт идэвхжүүлэхийн тулд үнэ бууруулах
